yr,animal,pos,sex,mb,length,age,bbdur,exhdur,insodur,fr,endco2,endo2,maxinsp,maxexp,expvt,inspvt,vo2,logmb,svo2,logvo2,logvt,login,logout,sexx,poss
2017,F296,Deck,m,136,,4,1.261,0.629,0.621,3.3,7.7,9.4,8.4,11.3,3.82,3.85,0.763,2.13,5.61,-0.117475462,0.58546073,0.924279286,1.053078443,m,Deck
2017,F306,Deck,m,136,,4,0.903,0.418,0.482,3.2,8.5,9.7,9.3,14,3.58,3.59,0.604,2.13,4.44,-0.218963061,0.555094449,0.968482949,1.146128036,m,Deck
2017,F296,Water,m,101,,4,1.109,0.564,0.522,6.5,10.5,9,7.8,9.9,2.74,2.73,0.48,2,4.75,-0.318758763,0.436162647,0.892094603,0.995635195,m,Water
2017,F306,Water,m,101,,4,0.922,0.412,0.494,5.8,12,8.2,6.4,11.5,2.32,2.23,0.356,2,3.52,-0.448550002,0.348304863,0.806179974,1.06069784,m,Water
2016,FB209,Deck,f,154,236,12,1.071,0.428,0.643,2.6,,10.4,15.8,26.3,7.1,6.98,1.065,2.19,6.91,0.027349608,0.843855423,1.198657087,1.419955748,f,Deck
2016,FB255,Deck,f,81,192,3,1.093,0.419,0.674,2.4,,10.2,11.1,21.9,5,4.49,0.512,1.91,6.32,-0.290730039,0.652246341,1.045322979,1.340444115,f,Deck
2016,FB33,Deck,f,195,258,34,0.939,0.479,0.46,2.8,,10.3,13.6,16.3,4.68,4.81,0.692,2.29,3.55,-0.159893906,0.682145076,1.133538908,1.212187604,f,Deck
2016,FB259,Deck,f,100,216,3,1.213,0.275,0.938,,,7.2,17,29.4,4.89,4.54,,,,,0.657055853,1.230448921,1.46834733,f,Deck
2016,FB292,Deck,m,124,216,4,0.813,0.349,0.464,3.2,,10.7,12.2,20.6,4.59,4.08,0.698,2.09,5.63,-0.156144577,0.610660163,1.086359831,1.31386722,m,Deck
2016,FB294,Deck,m,95,202,3,0.931,0.393,0.538,4.7,,8.5,8.6,17.1,3.7,3.49,0.897,1.98,9.45,-0.047207557,0.542825427,0.934498451,1.23299611,m,Deck
2016,FB223,Deck,f,160,251,15,1.072,0.497,0.575,2.3,,8.5,14.9,17.2,5.1,6.42,0.564,2.2,3.53,-0.248720896,0.807535028,1.173186268,1.235528447,f,Deck
2016,FB178,Deck,m,248,272,21,1.062,0.479,0.583,3.7,,9.9,13.1,20.4,6.24,6.08,0.88,2.39,3.55,-0.055517328,0.783903579,1.117271296,1.309630167,m,Deck
2016,FB188,Deck,m,229,257,20,0.944,0.521,0.423,3,,10.2,17.5,18.4,5.7,5.77,1.316,2.36,5.75,0.119255889,0.761175813,1.243038049,1.264817823,m,Deck
2016,FB209,Water,f,154,236,12,0.913,0.412,0.501,,,11.8,16.5,22.8,5.81,6.5,0.68,2.19,4.41,-0.167491087,0.812913357,1.217483944,1.357934847,f,Water
2016,FB255,Water,f,81,192,3,0.86,0.362,0.482,1.3,,11.3,7.5,12.9,2.75,2.36,0.221,1.91,2.72,-0.655607726,0.372912003,0.875061263,1.11058971,f,Water
2016,FB33,Water,f,195,258,34,0.963,0.413,0.55,,,12.3,15.2,23.2,5.72,6.4,0.437,2.29,2.24,-0.359518563,0.806179974,1.181843588,1.365487985,f,Water
2016,FB259,Water,f,100,216,3,1.157,0.653,0.49,1.2,,11.3,10.7,7.5,2.36,3.17,0.179,2,1.79,-0.747146969,0.501059262,1.029383778,0.875061263,f,Water
2016,FB292,Water,m,124,216,4,0.928,0.42,0.496,4.6,,11.2,11.3,15.4,3.19,3.63,0.605,2.09,4.88,-0.218244625,0.559906625,1.053078443,1.187520721,m,Water
2016,FB294,Water,m,95,202,3,0.916,0.368,0.548,1.2,,9.9,9.4,21,3.69,3.6,0.264,1.98,2.78,-0.578396073,0.556302501,0.973127854,1.322219295,m,Water
2016,FB223,Water,f,160,251,15,1.012,0.487,0.524,2.3,,11,13.3,13.3,3.81,4.69,0.437,2.2,2.73,-0.359518563,0.671172843,1.123851641,1.123851641,f,Water
2016,FB178,Water,m,248,272,21,0.928,0.405,0.522,,,10.1,15.9,22.7,5.38,5.68,0.681,2.39,2.75,-0.166852888,0.754348336,1.201397124,1.356025857,m,Water
2016,FB188,Water,m,229,257,20,0.977,0.493,0.484,,,8.9,16.4,16.9,4.74,5.45,0.372,2.36,1.62,-0.42945706,0.736396502,1.214843848,1.227886705,m,Water
2015,FB251,Deck,f,146,240,>12,0.955,0.399,0.556,1.4,6.1,10.8,11.5,13.3,3.95,4.6,0.223,2.16,1.53,-0.651695137,0.662757832,1.06069784,1.123851641,f,Deck
2015,FB245,Deck,f,110,212,3,0.972,0.47,0.503,3.6,6.9,11.1,11.9,15.7,4.95,4.49,0.605,2.04,5.5,-0.218244625,0.652246341,1.075546961,1.195899652,f,Deck
2015,FB133,Deck,f,165,240,16,1.053,0.565,0.486,4.5,5.9,12.6,14.9,14.7,5.12,5.71,0.471,2.22,2.86,-0.326979093,0.756636108,1.173186268,1.167317335,f,Deck
2015,FB199,Deck,f,142,236,13,0.852,0.388,0.464,4.8,6.2,11.9,13.4,14.4,4.07,5.02,0.332,2.15,2.34,-0.478861916,0.700703717,1.127104798,1.158362492,f,Deck
2015,FB193,Deck,f,155,250,31,,,,,,,,,,,,,,,,,,,
2015,FB146,Deck,m,266,277,19,0.594,0.282,0.312,1.5,3.6,5.5,7.3,10,3.63,3.93,0.358,2.42,1.35,-0.446116973,0.59439255,0.86332286,1,m,Deck
2015,FB254,Deck,m,250,273,26,0.836,0.386,0.449,4,5.8,12,14.6,22.5,5.52,6.14,0.391,2.4,1.56,-0.407823243,0.788168371,1.164352856,1.352182518,m,Deck
2015,FB251,Water,f,146,240,>12,,,,,,,,,,,,,,,,,,,
2015,FB245,Water,f,110,212,3,1.04,0.461,0.579,4.9,7.2,11,8.5,14.6,4.24,3.11,0.74,2.04,6.73,-0.13076828,0.492760389,0.929418926,1.164352856,f,Water
2015,FB133,Water,f,165,240,16,0.833,0.369,0.453,4.5,6.9,10.5,14.7,22.9,4.8,5.04,0.668,2.22,4.05,-0.175223538,0.702430536,1.167317335,1.359835482,f,Water
2015,FB199,Water,f,142,236,13,0.785,0.355,0.43,5.6,5.9,12,13,20.3,4.43,4.29,0.555,2.15,3.91,-0.255707017,0.632457292,1.113943352,1.307496038,f,Water
2015,FB257,Water,f,73,195,2,0.855,0.354,0.501,3.4,5.5,12.9,11.2,23.4,4.93,5.46,0.187,1.86,2.56,-0.728158393,0.737192643,1.049218023,1.369215857,f,Water
2015,FB193,Water,f,155,250,31,0.841,0.368,0.473,3.2,6.3,11.1,15.8,32.6,6.24,5.8,0.318,2.19,2.05,-0.49757288,0.763427994,1.198657087,1.5132176,f,Water
2015,FB146,Water,m,266,277,19,1.054,0.456,0.598,4.1,7.2,11.1,16.7,25.4,6.74,7.93,0.608,2.42,2.29,-0.216096421,0.899273187,1.222716471,1.404833717,m,Water
2015,FB254,Water,m,250,273,26,0.931,0.41,0.52,1.6,6,12.2,18.1,30.2,7.62,7.52,0.19,2.4,0.76,-0.721246399,0.876217841,1.257678575,1.480006943,m,Water
2014,FB196,Deck,m,248,269,16,1.708,1.143,0.565,,6,9.6,13.4,18.6,5.99,5.99,0.802,2.39,3.23,-0.095825632,0.777426822,1.127104798,1.269512944,m,Deck
2014,FB268,Deck,m,227,273,21,0.637,0.269,0.347,,4.5,12,15.8,26.8,4.6,4.6,1.04,2.36,4.58,0.017033339,0.662757832,1.198657087,1.428134794,m,Deck
2014,FB276,Deck,m,291,285,22,0.435,0.15,0.27,,5.1,10.2,21.9,39.4,4.61,4.61,,,,,0.663700925,1.340444115,1.595496222,m,Deck
2014,FB142,Deck,m,256,274,22,0.957,0.417,0.506,,6,9.7,11.7,17.1,5.27,5.27,0.632,2.46,2.17,-0.199282922,0.721810615,1.068185862,1.23299611,m,Deck
2014,FB237,Deck,f,192,254,???,1.271,0.63,0.617,,6.5,9.3,17.9,19.8,8.51,8.51,1.297,2.28,6.75,0.112939976,0.92992956,1.252853031,1.29666519,f,Deck
2014,FB239,Deck,f,117,228,4,,,,,,,,,,,,,,,,,,,
2014,FB197,Deck,f,167,234,11,1.317,0.565,0.716,,6.1,10.3,11.2,18,6.98,6.98,0.826,2.22,4.94,-0.083019953,0.843855423,1.049218023,1.255272505,f,Deck
2014,FB241,Deck,f,157,242,7,,,,,,,,,,,,,,,,,,,
2014,FB175,Deck,f,170,249,23,0.883,0.398,0.457,,4.9,10.8,10.1,14,4.2,4.2,0.78,2.23,4.59,-0.107905397,0.62324929,1.004321374,1.146128036,f,Deck
2014,FB133,Deck,f,167,242,15,0.948,0.42,0.493,,3.6,11.5,15.7,24.6,6.36,6.36,0.914,2.22,5.47,-0.039053804,0.803457116,1.195899652,1.390935107,f,Deck
2014,FB242,Deck,m,276,281,24,1.219,0.508,0.702,,6.1,9.8,20.6,25.6,10.44,10.44,0.473,2.44,1.71,-0.325138859,1.018700499,1.31386722,1.408239965,m,Deck
2014,FB164,Deck,m,291,262,25,1.018,0.466,0.532,,6,9.7,17.1,22.6,7.72,7.72,0.597,2.46,2.05,-0.224025669,0.8876173,1.23299611,1.354108439,m,Deck
2014,FB185,Deck,f,172,252,14,,,,,5.3,11.3,16,16.7,4.73,4.73,,2.24,,,0.674861141,1.204119983,1.222716471,f,Deck
2014,FB196,Water,m,248,269,16,0.821,0.373,0.423,,5.8,9.8,19.3,24.8,6.5,6.5,0.872,2.39,3.51,-0.059483515,0.812913357,1.285557309,1.394451681,m,Water
2014,FB268,Water,m,227,273,21,,,,,,,,,,,,,,,,,,,
2014,FB276,Water,m,291,285,22,1.219,0.568,0.633,,6.4,9.4,17.4,22.4,9.39,9.39,1,2.41,3.91,,0.972665592,1.240549248,1.350248018,m,Water
2014,FB142,Water,m,256,274,22,0.887,0.365,0.494,,5.7,10.9,15.1,23.5,6.06,6.06,0.56,2.46,1.92,-0.251811973,0.782472624,1.178976947,1.371067862,m,Water
2014,FB237,Water,f,192,254,???,0.92,0.4,0.519,,5,11.6,10.4,16.1,4.1,4.1,0.709,2.28,3.69,-0.149353765,0.612783857,1.017033339,1.206825876,f,Water
2014,FB239,Water,f,117,228,4,0.738,0.409,0.262,,6,8.5,9.3,9.7,2.49,2.49,0.332,2.07,2.84,-0.478861916,0.396199347,0.968482949,0.986771734,f,Water
2014,FB197,Water,f,167,234,11,,,,,,,,,,,,,,,,,,,
2014,FB241,Water,f,157,242,7,0.983,0.392,0.586,,6.1,9.3,20.5,28.9,8.08,8.08,0.695,2.2,4.43,-0.158015195,0.907411361,1.311753861,1.460897843,f,Water
2014,FB175,Water,f,170,249,23,,,,,,,,,,,,,,,,,,,
2014,FB133,Water,f,167,242,15,0.701,0.266,0.375,,5,12.4,16.1,26.9,4.63,4.63,0.559,2.22,3.35,-0.252588192,0.665580991,1.206825876,1.42975228,f,Water
2014,FB242,Water,m,276,281,24,1.032,0.465,0.56,,6.3,9.9,20.7,31.2,9.53,9.53,0.753,2.44,2.73,-0.123205024,0.979092901,1.315970345,1.494154594,m,Water
2014,FB164,Water,m,291,262,25,0.825,0.355,0.448,,5.3,12.3,15.6,23.5,5.51,5.51,0.54,2.46,1.86,-0.26760624,0.741151599,1.193124598,1.371067862,m,Water
2014,FB185,Water,f,172,252,14,0.634,0.31,0.304,,5.2,10.6,14.7,19.2,3.88,3.88,0.822,2.24,4.78,-0.085128182,0.588831726,1.167317335,1.283301229,f,Water
