Name,Diet,Length,Height,Weight
Abelisaurus,1,7.2,2,1.4
Allosaurus,1,12,3,4.5
Altirhinus,0,7.5,2,4
Ankylosaurus,0,9.1,1.2,3.5
Apatosaurus,0,24,3.8,32.5
Archaeopteryx,1,0.4,0.5,0.001
Bactrosaurus,0,6,1.4,1.5
Baryonyx,1,9.5,2.5,1.75
Beipiaosaurus,0,2.2,0.88,0.085
Brachiosaurus,0,25,7,55
Carcharodontosaurus,1,11,3.6,7
Carnotaurus,1,7.5,2.2,1
Cetiosaurus,0,15.5,3,24.8
Compsognathus,1,1.05,0.26,0.003
Corythosaurus,0,9.5,2,5
Cryolophosaurus,1,6,1.5,0.525
Daspletosaurus,1,9,2.7,2.3
Dilophosaurus,1,6,1.5,0.375
Diplodocus,0,27,5,15
Dimetrodon,1,3.5,1,0.25
Dromaeosaurus,1,1.8,0.5,0.015
Dryptosaurus,1,6.5,1.8,1.2
Edmontosaurus,0,13,3,3.25
Einiosaurus,0,6,2,2
Elaphrosaurus,1,5.6,1.5,0.21
Eustreptospondylus,1,8,3.35,0.225
Gallimimus,1,5,1.9,0.44
Gasparinisaura,0,0.8,0.3,0.034
Gigantosaurus,1,13.9,3.9,8
Gorgosaurus,1,8.5,2.8,2.5
Herrerasaurus,1,3.9,1.1,0.21
Iguanodon,0,8,2.7,4.5
Lambeosaurus,0,12,2.1,5.6
Leptoceratops,0,2,0.75,0.068
Massospondylus,0,4.85,1.8,1.5
Metriacanthosaurus,1,7.5,1.8,1
Nqwebasaurus,1,0.8,0.33,0.001
Othnielia,0,1.1,0.3,0.0225
Panoplosaurus,0,7,1.2,3.5
Parasaurolophus,0,12,2.8,2
Procompsognathus,1,1.2,0.26,0.001
Pteranodon,1,8.9,1.8,0.025
Scutellosaurus,0,1.2,0.46,0.01
Saltopus,1,0.7,0.2,0.001
Shuvuuia,1,0.9,0.3,0.0025
Sinornithoides,1,1.1,0.45,0.0055
Sinosauropteryx,1,1.25,0.29,0.0025
Stegosaurus,0,8.5,2.75,3.1
Suchomimus,1,11,3.6,5
Therizinosaurus,0,7,3,3
Titanosaurus,0,15,3,14.7
Torosaurus,0,6.9,2,4
Torovosaurus,1,11,2.5,3
Triceratops,0,9,2,9
Troodon,1,2.75,1,0.05
Tyronnosaurus,1,12.4,5.3,6
Ultrasauros,0,27.5,16,93
Utahraptor,1,6,1.7,1
Velociraptor,1,1.75,1,0.011
Wuerhosaurus,0,8.1,1.8,4
Zuniceratops,0,3.25,1,0.225
